"source_filename","identified_title","category_for_review","existing_project_slug","credit_status","year_to_confirm","language_to_confirm","exact_contribution_to_confirm","notes"
"LAUGHING BUDDHA.jpg","Laughing Buddha","Film","","Client-supplied artwork; contribution unverified","","","",""
"LOVELY .avif","Lovely","Film","","Client-supplied artwork; contribution unverified","","","",""
"MAARNAMI.jpg","Maarnami","Film","","Client-supplied artwork; contribution unverified","","","",""
"MAHA GANAPATHI ALBUM.jpeg","Maha Ganapathim","Music release","","Client-supplied artwork; contribution unverified","","","","Use poster spelling; confirm release format."
"MAKAL.jpg","Makal","Film","","Client-supplied artwork; contribution unverified","","","",""
"MANGO PACHA.jpg","Mango Pachcha","Film","","Client-supplied artwork; contribution unverified","","","","Confirm official transliteration."
"MODHA RATHIRI.jpg","Modha Rathiri","Music release","","Client-supplied artwork; contribution unverified","","","","Confirm parent film or standalone release."
"NALLA PERAI VAANGA VENDUM PILLAIGALE.jpg","Nalla Perai Vaanga Vendum Pillaigale","Film","","Client-supplied artwork; contribution unverified","","","",""
"NAYATU.jpg","Nayattu","Film","nayattu","Existing website entry; role still requires evidence","","","",""
"PANI.jpg","Pani","Film","","Client-supplied artwork; contribution unverified","","","",""
"POR copy.tiff","Por","Film","","Client-supplied artwork; contribution unverified","","","","Decoded and visually identified; WebP thumbnail and preview prepared for homepage."
"PRAVINKOODU SHAPPU.jpg","Pravinkoodu Shappu","Film","","Client-supplied artwork; contribution unverified","","","",""
"PREMALU.webp","Premalu","Film","premalu","Existing website entry; role still requires evidence","","","","Official Bhavana Studios jukebox credits support song mixing/mastering; see research notes."
"PUSHPAKA VIMANAM.jpg","Pushpaka Vimanam","Film","","Client-supplied artwork; contribution unverified","","","","Malayalam artwork; distinguish from films with the same name."
"Pa pandi.webp","Power Paandi / Pa. Paandi","Film","power-paandi","Existing website entry; role still requires evidence","","","",""
"RAAWADI.jpeg","Raawadi","Film","","Client-supplied artwork; contribution unverified","","","","Confirm whether this artwork represents a film, song or regional release."
"SALAGA.jpg","Salaga","Film","salaga","Existing website entry; role still requires evidence","","","","Promotional poster carries March 2020; do not use that as the final release year."
"SAPTA SAGARADAACHE ELLO A.jpg","Sapta Saagaradaache Ello — Side A","Film","","Client-supplied artwork; contribution unverified","","","","Supplied poster appears to promote a dubbed version; confirm credited language."
"SAPTA SAGARADAACHE ELLO B.jpg","Sapta Saagaradaache Ello — Side B","Film","","Client-supplied artwork; contribution unverified","","","","Keep Side A and Side B as separate projects."
"SM.jpg","Sulaikha Manzil","Film","","Client-supplied artwork; contribution unverified","","","",""
"SOMU SOUND ENIGNEER.jpg","Somu Sound Engineer","Film","","Client-supplied artwork; contribution unverified","","","",""
"Soodhu-Kavvum.jpg","Soodhu Kavvum — version to confirm","Film","","Client-supplied artwork; contribution unverified","","","","Artwork appears to be the sequel; confirm before associating with the 2013 film."
"TAGARU.jpg","Tagaru","Film","tagaru","Existing website entry; role still requires evidence","","","",""
"THALLUMALA.jpg","Thallumaala","Film","thallumaala","Existing website entry; role still requires evidence","","","",""
"TTT.jpg","Thalaivar Thambi Thalaimaiyil","Film","","Client-supplied artwork; contribution unverified","","","",""
"VEERA.jpg","Veera","Film","","Client-supplied artwork; contribution unverified","","","","Confirm release version/year."
"VIKRAM VEDHA.jpg","Vikram Vedha","Film","vikram-vedha","Existing website entry; role still requires evidence","","","","Tamil artwork. Exact engineering scope needs confirmation."
"Veeranjaneyulu Vihara Yatra.jpg","Veeranjaneyulu Vihara Yatra","Film","","Client-supplied artwork; contribution unverified","","","",""
